_key,categories/0,categories/1,categories/2,categories/3,query,title,categories/4,categories/5
124508,python,java,sql,scala,visual studio team ....txt,"Scala /Python Data Engineer M/F Green and smart mobility to experience the world at FlixBus (München, Germany)",amazon-web-services,
125013,python,c,pandas,postgresql,visual studio team ....txt,"Software Engineer (Python, Linux) at Edgestream Partners, L.P. (Princeton, NJ)",linux,
125621,web,solid-principles,spring,,word.txt,"Software Engineer - Core Hotel Data at trivago (Düsseldorf, Germany)",,
125787,scala,java,elasticsearch,bigdata,sendwithus open sou....txt,"Scala/ Java Backend Engineer at dataWerks GmbH (Frankfurt am Main, Deutschland)",playframework,
126185,java,elasticsearch,lucene,geospatial,î» gordon.txt,Java Engineer - Geospatial- Leading Open Source Company- Great Work/Life Balance at Elastic () (allows remote),,
126592,angular2,d3.js,apache-spark,amazon-s3,writing.txt,"Senior Full-Stack Software Engineer at Asymmetrik (Annapolis Junction, MD)",elasticsearch,
126595,javascript,elasticsearch,amazon-s3,apache-spark,î» gordon.txt,"Senior Software Engineer at Asymmetrik (Annapolis Junction, MD)",hadoop,
127563,javascript,node.js,reactjs,d3.js,î» gordon.txt,"Front-end Engineer (Junior and midlevel opportunities available) at The Dedham Group (New York, NY)",redux,
127752,java,machine-learning,,,sendwithus open sou....txt,"Senior Java Developer at LoyaltyOne (Toronto, ON, Canada)",,
127848,bpm,java,elasticsearch,rule-engine,workflow.txt,Lead BPM Developer: Web/Mobile Low Code Configurable Platform (REMOTE) at Primotus Division of CargoTel () (allows remote),,
128209,hadoop,etl,machine-learning,sql,user acceptance testing.txt,"Director, Data Engineering at iHeartRadio (New York, NY)",java,
128219,hadoop,data-pipeline,apache-storm,apache-spark,test-driven development.txt,"Senior Data Engineer at iHeartRadio (New York, NY)",,
128298,c#,sql-server,angularjs,asp.net-mvc,ms project.txt,"Full Stack Web Developer at Verify Brand (Plymouth, MN)",elasticsearch,
128404,asp.net-mvc,node.js,web-api,reactjs,react native materi....txt,"Senior .Net Developer at Domain Group (Pyrmont, Australia)",elasticsearch,
128415,react,javascript,asp.net-mvc,elasticsearch,react native materi....txt,"Front End Developer at Domain.com.au (Pyrmont, Australia)",browserify,
128492,elasticsearch,security,java,ldap,î» gordon.txt,Security Engineer - Java  @Elastic- Leading Open Source Company at Elastic () (allows remote),saml,
128568,spark,elasticsearch,python,hadoop,websphere application server.txt,"Senior Data Engineer at Restless Bandit (San Francisco, CA) (allows remote)",amazon-web-services,
128831,ruby-on-rails,postgresql,elasticsearch,reactjs,zen rails base appl....txt,Ruby on Rails Developer at Toptal () (allows remote),redis,
128884,ruby-on-rails,javascript,mongodb,nosql,zen rails base application.txt,"Software Engineer on a global team in Tokyo at WOVN.io (Minato, Japan)",bigdata,
129164,machine-learning,bigdata,saas,architecture,sendwithus open sou....txt,"DevOps Manager and Software Architect at CAMP Systems International (Merrimack, NH)",devops,
129283,ruby-on-rails,sql,html5,javascript,zen rails base appl....txt,"Web Application Developer at Green River (Guilford, VT) (allows remote)",elasticsearch,
129749,php,laravel,mysql,redis,test-driven development.txt,"Senior Software Engineer at a fast growing ecommerce startup at Oberlo (Berlin, Germany)",elasticsearch,
129874,sql,python,java,plsql,writing.txt,"Data Programmer / Analyst at TGS (Irvine, CA)",perl,
130209,javascript,d3.js,css3,three.js,visual studio team ....txt,"Data Visualization Expert at Asymmetrik (Annapolis Junction, MD)",html5,sysadmin
130257,ruby-on-rails,scala,bigdata,go,zen rails base appl....txt,"Data Engineer (m/f) at crealytics GmbH (Berlin, Germany)",hadoop,sysadmin
130321,chef,amazon-web-services,ruby,linux,websphere application server.txt,"Sr. DevOps Engineer at Gorilla Logic (Burbank, CA)",elasticsearch,
130402,java,hadoop,scala,hive,shell script.txt,"Java Software Engineer at Aol (London, UK)",apache-spark,
130868,java,soap,spring,maven,î» gordon.txt,"Senior Java Developer to fight terrorism and find people jobs at WCC Smart Search & Match (Utrecht, Netherlands)",elasticsearch,
130926,java,bigdata,agile,microservices,test-driven development.txt,"Lead/Senior Software Engineer at Catalina (San Jose, CA)",cloud,
131072,scala,clojure,raft,distributed-system,rackspace cloud ser....txt,Cloud Software Engineer- Scala or JVM- Leading Open Source Software Company at Elastic () (allows remote),elasticsearch,
131186,c,c++,robotics,computer-vision,visual studio team ....txt,"C/C++ Robot Brain Engineer at Aeolus Robotics, Inc (South San Francisco, CA) (allows remote)",machine-learning,
131360,go,python,reactjs,apache-kafka,visual studio team ....txt,"Software Engineer at Datadog (New York, NY) (allows remote)",apache-spark,
131398,elasticsearch,solr,scala,search,fulfillment by amazon.txt,"Senior Software Engineer, Search & Browse (Scala & Solr/ElasticSearch) at Zalando SE (Berlin, Germany)",lucene,
131403,java,scala,hadoop,mapreduce,aws elastic load ba....txt,"Senior Software Engineer, Recommendation & Personalization (Java, Big Data) at Zalando SE (Berlin, Germany)",nosql,
131734,python,machine-learning,data-science,supervised-learning,web.txt,Data Science Course Mentor at Thinkful Inc. () (allows remote),unsupervised-learning,
131786,java,hadoop,distributed-system,,pusher mobile push ....txt,"Senior Data Engineer at LiveRamp (San Francisco, CA)",,
131787,hadoop,chef,java,docker,websphere application server.txt,"Senior DevOps Engineer at LiveRamp (San Francisco, CA)",kubernetes,sysadmin
131859,c#,azure,.net,sql-server,writing.txt,"Senior Developer (C# / .NET / Azure) at Neocles (Amsterdam, Netherlands)",elasticsearch,
132568,scala,java,javascript,bigdata,material design for....txt,"Senior Software Engineer at HBC Digital (Saks Fifth Avenue, Gilt) (New York, NY)",sql,
132677,python,scala,c++,postgresql,zen rails base appl....txt,"Senior Backend-Developer for Cloud-based Big Data Services at Cognotekt GmbH (Köln, Deutschland)",agile,
132739,hadoop,storage,puppet,apache-kafka,fulfillment by amazon.txt,"Wir suchen: Linux Systems Engineer mit Schwerpunkt Hadoop und Search  (m/w) at inovex GmbH (München, Deutschland)",flume,sysadmin
132744,nlp,solr,lucene,java,digitalocean load b....txt,"Wir suchen Sie als Search Engineer (m/w) im Umfeld elasticsearch, lucene u.ä. at inovex GmbH (München, Deutschland)",elasticsearch,
132745,bigdata,hadoop,hive,apache-pig,google cloud sql fo....txt,"Wir suchen: Big Data Engineers (m/w) im Umfeld hadoop, hive, spark u.ä. at inovex GmbH (München, Deutschland)",apache-kafka,
132746,azure,aws,pentaho,talend,rackspace cloud ser....txt,"Wir suchen Sie als Cloud Data Solution Developer im Umfeld cloudera, aws.. (m/w) at inovex GmbH (München, Deutschland)",cloudera,
132756,azure,etl,sql,hadoop,google container en....txt,"Wir suchen Sie als Business Intelligence Entwickler im Umfeld aws, azure.. (m/w) at inovex GmbH (München, Deutschland)",amazon-web-services,
132762,java,web-services,rest,esb,spotfire.txt,"Java Backend-Entwickler (m/w) für die Themen Data Integration, ESB & Big Data at QuinScape GmbH (Dortmund, Deutschland)",talend,
132976,java,soap,spring,maven,sendwithus open sou....txt,"Senior Java Developer die helpt mensen een baan te vinden at WCC Smart Search & Match (Utrecht, Netherlands)",elasticsearch,
133009,java,c++,python,javascript,unix iam.txt,"Software Engineer at Google NYC at Google (New York, NY)",machine-learning,
133018,java,flume,elasticsearch,git,test-driven development.txt,"Experienced Java Developer for Elastic Search, Flume, Big Data Analytics at cognitix GmbH (Leipzig, Germany)",linux,
133112,java,scala,hadoop,apache-spark,sendwithus open sou....txt,"Data Platform Architect - (Java or Scala & Hadoop) at Zalando SE (Berlin, Germany)",apache-kafka,
133248,python,node.js,rust,cassandra,websphere 8.txt,"Senior Software Engineer at Lucid, LLC (New Orleans, LA)",elasticsearch,
133348,hp-quality-center,,,,user acceptance testing.txt,"QA Analyst for National Enterprise Software at M.M. Hayes Co., Inc. (Menands, NY)",,
133422,c#,asp.net,python,machine-learning,azure database for ....txt,"Software Engineer: Full stack C# & Machine Learning Engi (NLP) At Perth Startup at Boundlss (Perth, Australia)",nlp,
133487,ajax,salesforce,apex,java,visual studio team ....txt,"Salesforce Developer - Remote (US only) at Innovate! (Alexandria, VA) (allows remote)",javascript,
133905,java,bigdata,amazon-web-services,apache-spark,visual studio team ....txt,"BI Engineer (Java, C++, AWS & Spark) at Zalando SE (Hamburg, Germany)",python,
133970,python,tensorflow,machine-learning,deep-learning,ms project.txt,"Machine Learning Engineer | AI Startup at HyperScience (New York, NY)",nlp,
134022,typescript,knockout.js,c#,leaflet,websphere application server.txt,"Senior Full Stack .Net Web Application Developer at MapLarge (Atlanta, GA) (allows remote)",google-maps,
134224,salesforce,saas,javascript,ajax,sendwithus open sou....txt,"Solutions Architect at CarMax (Richmond, VA)",,
134318,apex,salesforce,visualforce,soql,mailgun transaction....txt,"Salesforce Developer at Fintech Startup at ARGO Trade Solutions (Berlin, Germany) (allows remote)",,
134349,c#,c++,f#,angularjs,microsoft office.txt,"World Class Software Development Vacancies at G-Research (London, UK)",agile,
134761,redux,nosql,elasticsearch,node.js,aws elastic load ba....txt,Back End Data Engineer at Clevertech () (allows remote),,
135001,domain-driven-design,microservices,machine-learning,bigdata,test-driven development.txt,"Softwarearchitekt (m/w) at CID GmbH (Berlin, Deutschland)",rest,
135116,scala,hadoop,apache-spark,hive,pusher mobile push ....txt,"Senior Data Developer at 84.51° (Cincinnati, OH)",json,
135471,bigdata,business-intelligence,artificial-intelligence,analytics,wifi direct.txt,"Enterprise Data Architect / Engineer at Critical Mix (Perrysburg, OH) (allows remote)",amazon-web-services,
135500,python,etl,qlikview,sql,wins.txt,"Data Engineer at Helloprint (Rotterdam, Netherlands)",database,
135662,python,hadoop,postgresql,nginx,wifi direct.txt,DevOps Engineer (Fully remote) at Hotjar () (allows remote),amazon-web-services,
135665,c++,database,sqlite,algorithm,zen rails base appl....txt,"Architect SQLite - Map Data Access at TomTom (ód, Poland)",data-structures,
135749,image-recognition,machine-learning,computer-vision,opencv,î» gordon.txt,"Image Recognition, Machine Learning Engineer at SPLYZA Inc. (Hamamatsu-shi, Japan)",c++,
135756,ruby-on-rails,ruby,,,zen rails base appl....txt,"Senior Backend Engineer (Ruby) | Help Build The Future of Finance at Cleo AI (London, UK)",,
135798,scala,akka,playframework,continuous-integration,test-driven development.txt,"Senior Scala Developer at the leading digital marketplace for cars at Scout24 (München, Germany)",elasticsearch,
135821,android,reverse-engineering,code-analysis,xposed,windows nt.txt,"Android Developer / Reverse Engineer at Data Theorem, Inc. (Palo Alto, CA)",java,
135890,computer-vision,image-processing,c#,oop,bi.txt,"Ingenieur/in Bildverarbeitung at SFS intec AG (Heerbrugg, Switzerland)",.net,
136180,scala,apache-spark,apache-kafka,hadoop,user acceptance testing.txt,"Senior / Lead Data Engineer - Einstein at Salesforce (San Francisco, CA)",cassandra,
136203,python,bigdata,amazon-web-services,,sendwithus open sou....txt,"Data Architect at Fineway GmbH (München, Germany)",,
136209,c++,multithreading,amazon-web-services,java,visual studio team ....txt,"C++ Engineers for plotting the quickest route at TomTom (Berlin, Germany)",matlab,
136253,go,docker,apache-kafka,linux,material design for....txt,"DevOps Engineer for Distributed Systems at OVH (Labège, France)",bigdata,
136313,amazon-web-services,google-cloud-platform,linux,mysql,zen rails base appl....txt,"Cloud Engineer at International Systems Research Co. (Nakano, Japan)",nosql,
136506,signal-processing,deep-learning,machine-learning,acoustics,user acceptance testing.txt,"Software Engineer: Machine Learning / Signal Processing (Multiple) at ARiA (Washington, DC)",,
136642,c,autosar,can,matlab,google container en....txt,"Softwareentwickler Embedded Systems at ITK Engineering GmbH (Marburg, Deutschland)",simulink,
136956,machine-learning,data-mining,statistics,bigdata,windows nt.txt,"Researcher Internship - Computer Vision at Rakuten (Setagaya, Japan)",data-science,
136963,java,bigdata,math,database,azure database for ....txt,"Praktikant im Bereich Softwareentwicklung Big Data (m/w) IN880 at BFFT Fahrzeugtechnik (Ingolstadt, Deutschland)",,
137058,hadoop,java,scala,apache-spark-sql,mysql performance a....txt,"Big Data Tech Lead - Scala/Spark & SQL at TD Bank Group (Toronto, ON, Canada)",sql,
137059,scala,java,apache-spark,,visual studio team ....txt,"Sr. Technical Lead Data & Analytics  Java/Scala at TD Bank Group (Toronto, ON, Canada)",,
137061,hadoop,linux,java,scala,zen rails base appl....txt,"Big Data Engineer II at TD Bank Group (Toronto, ON, Canada)",,
137122,python,c++,bigdata,hadoop,zen rails base appl....txt,"Storage Specialist  HPC at EPFL - Blue Brain Project (Genève, Suisse)",,
137177,image-processing,python,cloud,data-visualization,visual studio team ....txt,"Software Engineer - Multiplexed Ion Beam Imaging at Ionpath Inc. (Menlo Park, CA)",javascript,
137188,scala,apache-spark,java,hadoop,microsoft operations manager.txt,"Tech Lead - SQL & Scala or Spark at TD Bank Group (Toronto, ON, Canada)",sql,
137190,hadoop,python,scala,apache-spark,material design for....txt,"Hadoop Developer/Designer at TD Bank Group (Toronto, ON, Canada)",cloudera,
137264,lamp,amazon-web-services,asterisk,elasticsearch,mysql performance a....txt,"Software Developer at Cloud5 Communications (Chicago, IL) (allows remote)",sip,
137304,php,mysql,unit-testing,architecture,zen rails base appl....txt,"Impact Medical Research as Senior Backend Developer at Castor EDC (Amsterdam-Zuidoost, Netherlands)",extjs,
137309,algorithm,c++,python,machine-learning,ms project.txt,"Software Engineer - Machine Learning at Quora (Mountain View, CA)",math,
137407,ios,iot,network-programming,,wins.txt,"Mobile App Developer at Altair (Troy, MI)",,
137601,hadoop,apache-spark,java,nosql,tags.txt,"Senior Big Data Entwickler (m/w) at Steadforce GmbH (München, Deutschland)",bigdata,
137659,go,elasticsearch,distributed-system,monitoring,windows nt.txt,Software Engineer- Golang- - For Elastic Beats Product- Top Open Source Company at Elastic () (allows remote),scala,
137883,linux,apache-spark,hadoop,java,unix iam.txt,"  at DEVSISTERS Corp. (Seoul, South Korea)",python,
137887,unity3d,tableau,jira,python,websphere application server.txt,"Spontaneous Application at FEO Media (Stockholm, Sweden)",r,
137943,ruby-on-rails,ember.js,ruby,rubymotion,zen rails base appl....txt,"Ruby on Rails Developer at Financeit (Toronto, ON, Canada)",elasticsearch,
137949,demandware,salesforce,javascript,,zoho crm.txt,"Sr Demandware/Salesforce Commerce Architect at PFSweb (Allen, TX) (allows remote)",,
137957,scala,java,aws,hadoop,sendwithus open sou....txt,"Senior Backend Software Engineer at Rally Health (Minneapolis, MN)",soa,
138083,python,logstash,elasticsearch,kibana,rackspace cloud ser....txt,"DevOps / Backend Developer at Dunbar Security Solutions (Cockeysville, MD)",amazon-web-services,
138196,machine-learning,deep-learning,tensorflow,scikit-learn,zend framework.txt,"Machine Learning Engineer - Industrial Deep Learning (m/f) at CeleraOne GmbH (Berlin, Deutschland)",python,
138291,javascript,reactjs,single-page-application,d3.js,user acceptance testing.txt,Front End Developer at High Growth Social Media Company (AI/machine learning) EU at BrandBastion () (allows remote),angularjs,
138304,java,sql,html,javascript,writing.txt,"Salesforce Developer at Gen25 (Amsterdam, Netherlands)",ajax,
138354,design,css,angularjs,d3.js,rackspace cloud ser....txt,"Front-End Developer at Turbonomic (New York, NY)",html5,
138434,testing,java,hadoop,ruby,wins.txt,"Data Engineer (Java, Scala, Ruby) at Sky Betting & Gaming (Leeds, UK)",scala,
138436,hadoop,python,amazon-web-services,docker,wins.txt,"DevOps Engineer - (Hadoop, Linux, Chef) at Sky Betting & Gaming (Leeds, UK)",chef,sysadmin
138779,java,camel,spring,jenkins,google cloud deploy....txt,"Passionate and curious Java Developer with skills and ambitions. at Predictly AB (Stockholm, Sweden)",spark,
138824,amazon-ec2,python,html,sql,random password manager.txt,Lead Data Scientist (Singapore) LDSC17 at Jewel Paymentech (Singapore),javascript,
138907,java,spring,amazon-web-services,mysql,test-driven development.txt,"Full Stack Developer - Fraud Prevention at TransferWise (Budapest, Hungary)",machine-learning,
139141,sql,dataflex,xamarin,erp,zen rails base appl....txt,"Analyst - Programmer - Business applications at Soft Naert (Izegem, Belgium)",vb.net,
139262,r,machine-learning,python,,user acceptance testing.txt,"Senior Data Scientist - Real Time Ad Targeting at LoopMe (London, UK)",,
139397,php,elasticsearch,,,sendwithus open sou....txt,"Développeur Backend PHP at ManoMano (Paris, France)",,
139417,data,scientist,,,mysql performance a....txt,"Lead Data Scientist at eBay (Amsterdam, Netherlands)",,
139449,java,nosql,amazon-web-services,cassandra,zen rails base appl....txt,"Lead Software Engineer (Back-End) - PS Social at PlayStation (San Francisco, CA)",elasticsearch,
139555,hadoop,apache,bigdata,,rackspace cloud ser....txt,"Big Data Architect, Mid at Booz Allen Hamilton Inc. (McLean, VA)",,
139601,php,mysql,laravel,elasticsearch,react native materi....txt,"Software Engineer at Ageras (Copenhagen, Denmark)",,
139708,python,sql,deep-learning,,visual studio team ....txt,"Data Science Intern at Minodes (Berlin, Deutschland)",,
139732,java,apache,spring,angularjs,material design for....txt,"Software Developer (m/w) JAVA at KION Group IT (Frankfurt am Main, Deutschland)",bigdata,
139733,java,apache,angularjs,bigdata,material design for....txt,"Web Developer (m/w) Angular JS at KION Group IT (Frankfurt am Main, Deutschland)",user-interface,
139734,java,apache,spring,angularjs,zend framework.txt,"Platform Engineer (m/w) at KION Group IT (Frankfurt am Main, Deutschland)",bigdata,
139832,tensorflow,torch,,,pusher mobile push ....txt,"  at DEVSISTERS Corp. (Seoul, South Korea)",,
139841,r,sas,matlab,scala,visual studio team ....txt,"Data Scientist senior at SAFRAN (Magny-les-Hameaux, France)",c#,
139884,project-management,resolute,epic,build,visual studio team ....txt,"Senior EPIC Resolute Build Analyst at UC Davis Health (Sacramento, CA)",sysadmin,
139922,java,c++,matlab,simulink,it security.txt,"Software Ingenieur | IT-Systemgestaltung Automotive java/c++ (m/w) at ASAP Gruppe (Stuttgart, Deutschland)",svn,
139942,javascript,reactjs,ecmascript-6,d3.js,zen rails base appl....txt,"Senior Frontend Developer | Data Science Platform at Contiamo (Berlin, Germany)",typescript,
139993,linux,unix,git,svn,unix iam.txt,"Software Engineer, Backend at Schrödinger (New York, NY)",hadoop,
140034,bigdata,backend,amazon-web-services,c++,sendwithus open sou....txt,"Développeur logiciel backend/temps réel at Coyote Amerique (Ville de Québec, QC, Canada)",javascript,
140043,scala,rest,api,apache-kafka,open postgresql mon....txt,"Scala IoT Developer (m/f) at relayr GmbH (Berlin, Germany)",apache-spark,
140155,scala,hadoop,apache-spark,mapr,sendwithus open sou....txt,"Mid/Senior/Lead Scala Engineer - Scala, Spark, Hadoop at The Quantium Group (Sydney, Australia)",functional-programming,
140161,javascript,reactjs,node.js,git,wins.txt,"Junior JavaScript Engineer at the cutting edge of big data at Qubit (London, UK)",,
140223,c++,python,c,linux,writing.txt,"C++ Software Engineer Working With Capital Markets Data at MayStreet (New York, NY)",,
140224,adobe-analytics,tableau,r,python,zen rails base appl....txt,"TECHNICAL DATA ANALYST at Your Favourite Story (London, UK)",amazon-web-services,
140243,apache-spark,apache-flink,apache-kafka,python,visual studio team ....txt,"Transportation Data Pipeline Engineer at Mapzen (San Francisco, CA)",c++,
140316,python,linux,sql,r,visual studio team ....txt,"Senior Performance Analyst wanted in Capacity Management team! at Sabre Polska (Kraków, Poland)",sas,
140325,python,postgresql,hadoop,amazon-web-services,open postgresql mon....txt,"Software Engineer - Training in Machine Learning and Deep Learning - SO/ELE/1204 at Elevate Direct (London, UK)",docker,
140410,machine-learning,deep-learning,image-recognition,image-processing,dsp.txt,"AI Engineer at DENSO (Chuo, Japan)",signal-processing,
140431,java,sql,nosql,,zen rails base appl....txt,"Data Scientist (m/f) | Hamburg at Kreditech (Hamburg, Germany)",,
140515,scala,python,data-science,amazon-web-services,open postgresql mon....txt,"Senior Data Scientist at FindHotel (Amsterdam, Netherlands)",apache-spark,
140581,.net,uipath,c#,,î» gordon.txt,"Robotics & AI Utvecklare / Lead Developer till snabbväxande start-up at New Innovation (Stockholm, Sweden)",,
140607,c++,qt,,,vr.txt,"Senior C++ Software Engineer in Silicon Valley or Research Triangle at 219 Design (Mountain View, CA)",,
140634,python,google-app-engine,google-cloud-datastore,,windows nt.txt,"Python Backend Engineer at Data Theorem, Inc. (Palo Alto, CA)",,
140635,reactjs,javascript,ecmascript-6,redux-saga,zen rails base application.txt,"Frontend Engineer - ReactJS at Data Theorem, Inc. (Palo Alto, CA)",redux,
140737,linux,python,pandas,networking,shell script.txt,"Systems Performance Engineer at IMC Financial Markets (Amsterdam, Netherlands)",sysadmin,performance
140851,amazon-web-services,ansible,cassandra,hadoop,î» gordon.txt,"DevOps Engineer at Relay42 (Amsterdam, Netherlands)",puppet,
140868,hadoop,cloud,java,json,rackspace cloud ser....txt,"Fully Cleared Cloud Software Developer (with Opportunity to Gain Clearance) at Varen Technologies Inc (Columbia, MD)",accumulo,
140904,python,pandas,data-modeling,etl,visual studio 2015.txt,Data Engineer at Toptal () (allows remote),postgresql,
140936,machine-learning,sql,data-mining,hadoop,sendwithus open sou....txt,"Data Scientist  Analytics => Paid Relocation to Amsterdam <= at Booking.com (Amsterdam, Netherlands)",python,
140980,hadoop,linux,java,distributed-system,mysql performance a....txt,"Engineer, Hadoop Operations at Conversant (Chicago, IL)",,
141040,salesforce,,,,wins.txt,"Business Analyst Salesforce (f/m) at FinanceApp Switzerland AG (Zürich, Schweiz)",,
141056,java,python,azure,aws,shell script.txt,"Intern, Cloud Research at ARM (Austin, TX)",shell,
141297,hadoop,apache-spark,bigdata,java,visual studio team ....txt,"Data Platform Engineer - Java/Scala/Others at INFARE (Copenhagen, Denmark)",scala,
141368,java,hadoop,scala,apache-spark,local area networking.txt,"Senior Software Engineer at Conversant (Westlake Village, CA)",,
141460,scala,akka,apache-kafka,functional-programming,user acceptance testing.txt,"Scala Engineer at Cake Solutions Limited (Stockport, UK)",apache-spark,
141462,java,softwareentwickler,,,ab initio etl.txt,"Java Entwickler (m/w) für München oder Nürnberg at Compusafe Data Systems AG (München, Deutschland)",,
141473,mysql,redis,memcached,ruby,unix iam.txt,"Database Engineer - Data Stores Engineering at Shopify (Ottawa, ON, Canada) (allows remote)",google-cloud-platform,sysadmin
141504,soa,oracle,design,salesforce,sap fico.txt,"Enterprise Solutions Architecture Sales Force Architect at L.A. Care (Los Angeles, CA)",sap,
141671,javascript,bigdata,web-development-server,application,websphere application server.txt,"Abschlussarbeit im Bereich App-Entwicklung (m/w) IN933 at BFFT Fahrzeugtechnik (Ingolstadt, Deutschland)",hybrid-mobile-app,
141951,statistics,sql,machine-learning,data-science,windows nt.txt,"Data Scientist/Analyst - West London Fintech at LMAX Exchange (London, UK)",,
141961,java,spring-mvc,amazon-web-services,postgresql,zen rails base appl....txt,"Java Developer at Picnic (Amsterdam, Netherlands)",elasticsearch,
142066,java,hadoop,tomcat,apache-kafka,sendwithus open sou....txt,"Software Developer (f/m) Java at Yieldlab AG (Hamburg, Deutschland)",apache-flink,
142067,php,soap,mongodb,mysql,zfs.txt,"Software Developer (f/m/divers) Backend at The ADEX GmbH (Berlin, Deutschland)",bigdata,
