categories/0,categories/1,categories/2,categories/3,categories/4,skill,title
sql,python,java,plsql,perl,"sql,python,java,plsql,perl","Data Programmer / Analyst at TGS (Irvine, CA)"
javascript,d3.js,css3,three.js,html5,"javascript,d3.js,css3,three.js,html5","Data Visualization Expert at Asymmetrik (Annapolis Junction, MD)"
ruby-on-rails,scala,bigdata,go,hadoop,"ruby-on-rails,scala,bigdata,go,hadoop","Data Engineer (m/f) at crealytics GmbH (Berlin, Germany)"
chef,amazon-web-services,ruby,linux,elasticsearch,"chef,amazon-web-services,ruby,linux,elasticsearch","Sr. DevOps Engineer at Gorilla Logic (Burbank, CA)"
java,hadoop,scala,hive,apache-spark,"java,hadoop,scala,hive,apache-spark","Java Software Engineer at Aol (London, UK)"
java,soap,spring,maven,elasticsearch,"java,soap,spring,maven,elasticsearch","Senior Java Developer to fight terrorism and find people jobs at WCC Smart Search & Match (Utrecht, Netherlands)"
java,bigdata,agile,microservices,cloud,"java,bigdata,agile,microservices,cloud","Lead/Senior Software Engineer at Catalina (San Jose, CA)"
scala,clojure,raft,distributed-system,elasticsearch,"scala,clojure,raft,distributed-system,elasticsearch",Cloud Software Engineer- Scala or JVM- Leading Open Source Software Company at Elastic () (allows remote)
c,c++,robotics,computer-vision,machine-learning,"c,c++,robotics,computer-vision,machine-learning","C/C++ Robot Brain Engineer at Aeolus Robotics, Inc (South San Francisco, CA) (allows remote)"
go,python,reactjs,apache-kafka,apache-spark,"go,python,reactjs,apache-kafka,apache-spark","Software Engineer at Datadog (New York, NY) (allows remote)"
elasticsearch,solr,scala,search,lucene,"elasticsearch,solr,scala,search,lucene","Senior Software Engineer, Search & Browse (Scala & Solr/ElasticSearch) at Zalando SE (Berlin, Germany)"
java,scala,hadoop,mapreduce,nosql,"java,scala,hadoop,mapreduce,nosql","Senior Software Engineer, Recommendation & Personalization (Java, Big Data) at Zalando SE (Berlin, Germany)"
python,machine-learning,data-science,supervised-learning,unsupervised-learning,"python,machine-learning,data-science,supervised-learning,unsupervised-learning",Data Science Course Mentor at Thinkful Inc. () (allows remote)
java,hadoop,distributed-system,,,"java,hadoop,distributed-system,,","Senior Data Engineer at LiveRamp (San Francisco, CA)"
hadoop,chef,java,docker,kubernetes,"hadoop,chef,java,docker,kubernetes","Senior DevOps Engineer at LiveRamp (San Francisco, CA)"
c#,azure,.net,sql-server,elasticsearch,"c#,azure,.net,sql-server,elasticsearch","Senior Developer (C# / .NET / Azure) at Neocles (Amsterdam, Netherlands)"
scala,java,javascript,bigdata,sql,"scala,java,javascript,bigdata,sql","Senior Software Engineer at HBC Digital (Saks Fifth Avenue, Gilt) (New York, NY)"
python,scala,c++,postgresql,agile,"python,scala,c++,postgresql,agile","Senior Backend-Developer for Cloud-based Big Data Services at Cognotekt GmbH (Köln, Deutschland)"
hadoop,storage,puppet,apache-kafka,flume,"hadoop,storage,puppet,apache-kafka,flume","Wir suchen: Linux Systems Engineer mit Schwerpunkt Hadoop und Search  (m/w) at inovex GmbH (München, Deutschland)"
nlp,solr,lucene,java,elasticsearch,"nlp,solr,lucene,java,elasticsearch","Wir suchen Sie als Search Engineer (m/w) im Umfeld elasticsearch, lucene u.ä. at inovex GmbH (München, Deutschland)"
bigdata,hadoop,hive,apache-pig,apache-kafka,"bigdata,hadoop,hive,apache-pig,apache-kafka","Wir suchen: Big Data Engineers (m/w) im Umfeld hadoop, hive, spark u.ä. at inovex GmbH (München, Deutschland)"
azure,aws,pentaho,talend,cloudera,"azure,aws,pentaho,talend,cloudera","Wir suchen Sie als Cloud Data Solution Developer im Umfeld cloudera, aws.. (m/w) at inovex GmbH (München, Deutschland)"
azure,etl,sql,hadoop,amazon-web-services,"azure,etl,sql,hadoop,amazon-web-services","Wir suchen Sie als Business Intelligence Entwickler im Umfeld aws, azure.. (m/w) at inovex GmbH (München, Deutschland)"
java,web-services,rest,esb,talend,"java,web-services,rest,esb,talend","Java Backend-Entwickler (m/w) für die Themen Data Integration, ESB & Big Data at QuinScape GmbH (Dortmund, Deutschland)"
java,soap,spring,maven,elasticsearch,"java,soap,spring,maven,elasticsearch","Senior Java Developer die helpt mensen een baan te vinden at WCC Smart Search & Match (Utrecht, Netherlands)"
java,c++,python,javascript,machine-learning,"java,c++,python,javascript,machine-learning","Software Engineer at Google NYC at Google (New York, NY)"
java,flume,elasticsearch,git,linux,"java,flume,elasticsearch,git,linux","Experienced Java Developer for Elastic Search, Flume, Big Data Analytics at cognitix GmbH (Leipzig, Germany)"
java,scala,hadoop,apache-spark,apache-kafka,"java,scala,hadoop,apache-spark,apache-kafka","Data Platform Architect - (Java or Scala & Hadoop) at Zalando SE (Berlin, Germany)"
python,node.js,rust,cassandra,elasticsearch,"python,node.js,rust,cassandra,elasticsearch","Senior Software Engineer at Lucid, LLC (New Orleans, LA)"
hp-quality-center,,,,,"hp-quality-center,,,,","QA Analyst for National Enterprise Software at M.M. Hayes Co., Inc. (Menands, NY)"
c#,asp.net,python,machine-learning,nlp,"c#,asp.net,python,machine-learning,nlp","Software Engineer: Full stack C# & Machine Learning Engi (NLP) At Perth Startup at Boundlss (Perth, Australia)"
ajax,salesforce,apex,java,javascript,"ajax,salesforce,apex,java,javascript","Salesforce Developer - Remote (US only) at Innovate! (Alexandria, VA) (allows remote)"
java,bigdata,amazon-web-services,apache-spark,python,"java,bigdata,amazon-web-services,apache-spark,python","BI Engineer (Java, C++, AWS & Spark) at Zalando SE (Hamburg, Germany)"
python,tensorflow,machine-learning,deep-learning,nlp,"python,tensorflow,machine-learning,deep-learning,nlp","Machine Learning Engineer | AI Startup at HyperScience (New York, NY)"
typescript,knockout.js,c#,leaflet,google-maps,"typescript,knockout.js,c#,leaflet,google-maps","Senior Full Stack .Net Web Application Developer at MapLarge (Atlanta, GA) (allows remote)"
salesforce,saas,javascript,ajax,,"salesforce,saas,javascript,ajax,","Solutions Architect at CarMax (Richmond, VA)"
apex,salesforce,visualforce,soql,,"apex,salesforce,visualforce,soql,","Salesforce Developer at Fintech Startup at ARGO Trade Solutions (Berlin, Germany) (allows remote)"
c#,c++,f#,angularjs,agile,"c#,c++,f#,angularjs,agile","World Class Software Development Vacancies at G-Research (London, UK)"
redux,nosql,elasticsearch,node.js,,"redux,nosql,elasticsearch,node.js,",Back End Data Engineer at Clevertech () (allows remote)
domain-driven-design,microservices,machine-learning,bigdata,rest,"domain-driven-design,microservices,machine-learning,bigdata,rest","Softwarearchitekt (m/w) at CID GmbH (Berlin, Deutschland)"
scala,hadoop,apache-spark,hive,json,"scala,hadoop,apache-spark,hive,json","Senior Data Developer at 84.51° (Cincinnati, OH)"
bigdata,business-intelligence,artificial-intelligence,analytics,amazon-web-services,"bigdata,business-intelligence,artificial-intelligence,analytics,amazon-web-services","Enterprise Data Architect / Engineer at Critical Mix (Perrysburg, OH) (allows remote)"
python,etl,qlikview,sql,database,"python,etl,qlikview,sql,database","Data Engineer at Helloprint (Rotterdam, Netherlands)"
python,hadoop,postgresql,nginx,amazon-web-services,"python,hadoop,postgresql,nginx,amazon-web-services",DevOps Engineer (Fully remote) at Hotjar () (allows remote)
c++,database,sqlite,algorithm,data-structures,"c++,database,sqlite,algorithm,data-structures","Architect SQLite - Map Data Access at TomTom (ód, Poland)"
image-recognition,machine-learning,computer-vision,opencv,c++,"image-recognition,machine-learning,computer-vision,opencv,c++","Image Recognition, Machine Learning Engineer at SPLYZA Inc. (Hamamatsu-shi, Japan)"
ruby-on-rails,ruby,,,,"ruby-on-rails,ruby,,,","Senior Backend Engineer (Ruby) | Help Build The Future of Finance at Cleo AI (London, UK)"
scala,akka,playframework,continuous-integration,elasticsearch,"scala,akka,playframework,continuous-integration,elasticsearch","Senior Scala Developer at the leading digital marketplace for cars at Scout24 (München, Germany)"
android,reverse-engineering,code-analysis,xposed,java,"android,reverse-engineering,code-analysis,xposed,java","Android Developer / Reverse Engineer at Data Theorem, Inc. (Palo Alto, CA)"
computer-vision,image-processing,c#,oop,.net,"computer-vision,image-processing,c#,oop,.net","Ingenieur/in Bildverarbeitung at SFS intec AG (Heerbrugg, Switzerland)"
scala,apache-spark,apache-kafka,hadoop,cassandra,"scala,apache-spark,apache-kafka,hadoop,cassandra","Senior / Lead Data Engineer - Einstein at Salesforce (San Francisco, CA)"
python,bigdata,amazon-web-services,,,"python,bigdata,amazon-web-services,,","Data Architect at Fineway GmbH (München, Germany)"
c++,multithreading,amazon-web-services,java,matlab,"c++,multithreading,amazon-web-services,java,matlab","C++ Engineers for plotting the quickest route at TomTom (Berlin, Germany)"
go,docker,apache-kafka,linux,bigdata,"go,docker,apache-kafka,linux,bigdata","DevOps Engineer for Distributed Systems at OVH (Labège, France)"
amazon-web-services,google-cloud-platform,linux,mysql,nosql,"amazon-web-services,google-cloud-platform,linux,mysql,nosql","Cloud Engineer at International Systems Research Co. (Nakano, Japan)"
signal-processing,deep-learning,machine-learning,acoustics,,"signal-processing,deep-learning,machine-learning,acoustics,","Software Engineer: Machine Learning / Signal Processing (Multiple) at ARiA (Washington, DC)"
c,autosar,can,matlab,simulink,"c,autosar,can,matlab,simulink","Softwareentwickler Embedded Systems at ITK Engineering GmbH (Marburg, Deutschland)"
machine-learning,data-mining,statistics,bigdata,data-science,"machine-learning,data-mining,statistics,bigdata,data-science","Researcher Internship - Computer Vision at Rakuten (Setagaya, Japan)"
java,bigdata,math,database,,"java,bigdata,math,database,","Praktikant im Bereich Softwareentwicklung Big Data (m/w) IN880 at BFFT Fahrzeugtechnik (Ingolstadt, Deutschland)"
hadoop,java,scala,apache-spark-sql,sql,"hadoop,java,scala,apache-spark-sql,sql","Big Data Tech Lead - Scala/Spark & SQL at TD Bank Group (Toronto, ON, Canada)"
scala,java,apache-spark,,,"scala,java,apache-spark,,","Sr. Technical Lead Data & Analytics  Java/Scala at TD Bank Group (Toronto, ON, Canada)"
hadoop,linux,java,scala,,"hadoop,linux,java,scala,","Big Data Engineer II at TD Bank Group (Toronto, ON, Canada)"
python,c++,bigdata,hadoop,,"python,c++,bigdata,hadoop,","Storage Specialist  HPC at EPFL - Blue Brain Project (Genève, Suisse)"
image-processing,python,cloud,data-visualization,javascript,"image-processing,python,cloud,data-visualization,javascript","Software Engineer - Multiplexed Ion Beam Imaging at Ionpath Inc. (Menlo Park, CA)"
scala,apache-spark,java,hadoop,sql,"scala,apache-spark,java,hadoop,sql","Tech Lead - SQL & Scala or Spark at TD Bank Group (Toronto, ON, Canada)"
hadoop,python,scala,apache-spark,cloudera,"hadoop,python,scala,apache-spark,cloudera","Hadoop Developer/Designer at TD Bank Group (Toronto, ON, Canada)"
lamp,amazon-web-services,asterisk,elasticsearch,sip,"lamp,amazon-web-services,asterisk,elasticsearch,sip","Software Developer at Cloud5 Communications (Chicago, IL) (allows remote)"
php,mysql,unit-testing,architecture,extjs,"php,mysql,unit-testing,architecture,extjs","Impact Medical Research as Senior Backend Developer at Castor EDC (Amsterdam-Zuidoost, Netherlands)"
algorithm,c++,python,machine-learning,math,"algorithm,c++,python,machine-learning,math","Software Engineer - Machine Learning at Quora (Mountain View, CA)"
ios,iot,network-programming,,,"ios,iot,network-programming,,","Mobile App Developer at Altair (Troy, MI)"
hadoop,apache-spark,java,nosql,bigdata,"hadoop,apache-spark,java,nosql,bigdata","Senior Big Data Entwickler (m/w) at Steadforce GmbH (München, Deutschland)"
go,elasticsearch,distributed-system,monitoring,scala,"go,elasticsearch,distributed-system,monitoring,scala",Software Engineer- Golang- - For Elastic Beats Product- Top Open Source Company at Elastic () (allows remote)
linux,apache-spark,hadoop,java,python,"linux,apache-spark,hadoop,java,python","  at DEVSISTERS Corp. (Seoul, South Korea)"
unity3d,tableau,jira,python,r,"unity3d,tableau,jira,python,r","Spontaneous Application at FEO Media (Stockholm, Sweden)"
ruby-on-rails,ember.js,ruby,rubymotion,elasticsearch,"ruby-on-rails,ember.js,ruby,rubymotion,elasticsearch","Ruby on Rails Developer at Financeit (Toronto, ON, Canada)"
demandware,salesforce,javascript,,,"demandware,salesforce,javascript,,","Sr Demandware/Salesforce Commerce Architect at PFSweb (Allen, TX) (allows remote)"
scala,java,aws,hadoop,soa,"scala,java,aws,hadoop,soa","Senior Backend Software Engineer at Rally Health (Minneapolis, MN)"
python,logstash,elasticsearch,kibana,amazon-web-services,"python,logstash,elasticsearch,kibana,amazon-web-services","DevOps / Backend Developer at Dunbar Security Solutions (Cockeysville, MD)"
machine-learning,deep-learning,tensorflow,scikit-learn,python,"machine-learning,deep-learning,tensorflow,scikit-learn,python","Machine Learning Engineer - Industrial Deep Learning (m/f) at CeleraOne GmbH (Berlin, Deutschland)"
javascript,reactjs,single-page-application,d3.js,angularjs,"javascript,reactjs,single-page-application,d3.js,angularjs",Front End Developer at High Growth Social Media Company (AI/machine learning) EU at BrandBastion () (allows remote)
java,sql,html,javascript,ajax,"java,sql,html,javascript,ajax","Salesforce Developer at Gen25 (Amsterdam, Netherlands)"
design,css,angularjs,d3.js,html5,"design,css,angularjs,d3.js,html5","Front-End Developer at Turbonomic (New York, NY)"
testing,java,hadoop,ruby,scala,"testing,java,hadoop,ruby,scala","Data Engineer (Java, Scala, Ruby) at Sky Betting & Gaming (Leeds, UK)"
hadoop,python,amazon-web-services,docker,chef,"hadoop,python,amazon-web-services,docker,chef","DevOps Engineer - (Hadoop, Linux, Chef) at Sky Betting & Gaming (Leeds, UK)"
java,camel,spring,jenkins,spark,"java,camel,spring,jenkins,spark","Passionate and curious Java Developer with skills and ambitions. at Predictly AB (Stockholm, Sweden)"
amazon-ec2,python,html,sql,javascript,"amazon-ec2,python,html,sql,javascript",Lead Data Scientist (Singapore) LDSC17 at Jewel Paymentech (Singapore)
java,spring,amazon-web-services,mysql,machine-learning,"java,spring,amazon-web-services,mysql,machine-learning","Full Stack Developer - Fraud Prevention at TransferWise (Budapest, Hungary)"
sql,dataflex,xamarin,erp,vb.net,"sql,dataflex,xamarin,erp,vb.net","Analyst - Programmer - Business applications at Soft Naert (Izegem, Belgium)"
r,machine-learning,python,,,"r,machine-learning,python,,","Senior Data Scientist - Real Time Ad Targeting at LoopMe (London, UK)"
php,elasticsearch,,,,"php,elasticsearch,,,","Développeur Backend PHP at ManoMano (Paris, France)"
data,scientist,,,,"data,scientist,,,","Lead Data Scientist at eBay (Amsterdam, Netherlands)"
java,nosql,amazon-web-services,cassandra,elasticsearch,"java,nosql,amazon-web-services,cassandra,elasticsearch","Lead Software Engineer (Back-End) - PS Social at PlayStation (San Francisco, CA)"
hadoop,apache,bigdata,,,"hadoop,apache,bigdata,,","Big Data Architect, Mid at Booz Allen Hamilton Inc. (McLean, VA)"
php,mysql,laravel,elasticsearch,,"php,mysql,laravel,elasticsearch,","Software Engineer at Ageras (Copenhagen, Denmark)"
python,sql,deep-learning,,,"python,sql,deep-learning,,","Data Science Intern at Minodes (Berlin, Deutschland)"
java,apache,spring,angularjs,bigdata,"java,apache,spring,angularjs,bigdata","Software Developer (m/w) JAVA at KION Group IT (Frankfurt am Main, Deutschland)"
java,apache,angularjs,bigdata,user-interface,"java,apache,angularjs,bigdata,user-interface","Web Developer (m/w) Angular JS at KION Group IT (Frankfurt am Main, Deutschland)"
java,apache,spring,angularjs,bigdata,"java,apache,spring,angularjs,bigdata","Platform Engineer (m/w) at KION Group IT (Frankfurt am Main, Deutschland)"
tensorflow,torch,,,,"tensorflow,torch,,,","  at DEVSISTERS Corp. (Seoul, South Korea)"
r,sas,matlab,scala,c#,"r,sas,matlab,scala,c#","Data Scientist senior at SAFRAN (Magny-les-Hameaux, France)"
project-management,resolute,epic,build,sysadmin,"project-management,resolute,epic,build,sysadmin","Senior EPIC Resolute Build Analyst at UC Davis Health (Sacramento, CA)"
java,c++,matlab,simulink,svn,"java,c++,matlab,simulink,svn","Software Ingenieur | IT-Systemgestaltung Automotive java/c++ (m/w) at ASAP Gruppe (Stuttgart, Deutschland)"
javascript,reactjs,ecmascript-6,d3.js,typescript,"javascript,reactjs,ecmascript-6,d3.js,typescript","Senior Frontend Developer | Data Science Platform at Contiamo (Berlin, Germany)"
linux,unix,git,svn,hadoop,"linux,unix,git,svn,hadoop","Software Engineer, Backend at Schrödinger (New York, NY)"
bigdata,backend,amazon-web-services,c++,javascript,"bigdata,backend,amazon-web-services,c++,javascript","Développeur logiciel backend/temps réel at Coyote Amerique (Ville de Québec, QC, Canada)"
scala,rest,api,apache-kafka,apache-spark,"scala,rest,api,apache-kafka,apache-spark","Scala IoT Developer (m/f) at relayr GmbH (Berlin, Germany)"
scala,hadoop,apache-spark,mapr,functional-programming,"scala,hadoop,apache-spark,mapr,functional-programming","Mid/Senior/Lead Scala Engineer - Scala, Spark, Hadoop at The Quantium Group (Sydney, Australia)"
javascript,reactjs,node.js,git,,"javascript,reactjs,node.js,git,","Junior JavaScript Engineer at the cutting edge of big data at Qubit (London, UK)"
c++,python,c,linux,,"c++,python,c,linux,","C++ Software Engineer Working With Capital Markets Data at MayStreet (New York, NY)"
adobe-analytics,tableau,r,python,amazon-web-services,"adobe-analytics,tableau,r,python,amazon-web-services","TECHNICAL DATA ANALYST at Your Favourite Story (London, UK)"
apache-spark,apache-flink,apache-kafka,python,c++,"apache-spark,apache-flink,apache-kafka,python,c++","Transportation Data Pipeline Engineer at Mapzen (San Francisco, CA)"
python,linux,sql,r,sas,"python,linux,sql,r,sas","Senior Performance Analyst wanted in Capacity Management team! at Sabre Polska (Kraków, Poland)"
python,postgresql,hadoop,amazon-web-services,docker,"python,postgresql,hadoop,amazon-web-services,docker","Software Engineer - Training in Machine Learning and Deep Learning - SO/ELE/1204 at Elevate Direct (London, UK)"
machine-learning,deep-learning,image-recognition,image-processing,signal-processing,"machine-learning,deep-learning,image-recognition,image-processing,signal-processing","AI Engineer at DENSO (Chuo, Japan)"
java,sql,nosql,,,"java,sql,nosql,,","Data Scientist (m/f) | Hamburg at Kreditech (Hamburg, Germany)"
scala,python,data-science,amazon-web-services,apache-spark,"scala,python,data-science,amazon-web-services,apache-spark","Senior Data Scientist at FindHotel (Amsterdam, Netherlands)"
.net,uipath,c#,,,".net,uipath,c#,,","Robotics & AI Utvecklare / Lead Developer till snabbväxande start-up at New Innovation (Stockholm, Sweden)"
c++,qt,,,,"c++,qt,,,","Senior C++ Software Engineer in Silicon Valley or Research Triangle at 219 Design (Mountain View, CA)"
python,google-app-engine,google-cloud-datastore,,,"python,google-app-engine,google-cloud-datastore,,","Python Backend Engineer at Data Theorem, Inc. (Palo Alto, CA)"
reactjs,javascript,ecmascript-6,redux-saga,redux,"reactjs,javascript,ecmascript-6,redux-saga,redux","Frontend Engineer - ReactJS at Data Theorem, Inc. (Palo Alto, CA)"
linux,python,pandas,networking,sysadmin,"linux,python,pandas,networking,sysadmin","Systems Performance Engineer at IMC Financial Markets (Amsterdam, Netherlands)"
